group,name,key,value
Province,Modena,3E43,0AE3
Province,Monza - Brianza,3E43,9098
Province,Napoli,3E43,ACAF
Province,Novara,3E43,40AF
Province,Nuoro,3E43,0985
Province,Ogliastra,3E43,B792
Province,Olbia - Tempio,3E43,F309
Province,Oristano,3E43,65A6
Province,Padova,3E43,44A3
Province,Palermo,3E43,8DE2
Province,Parma,3E43,0931
Province,Pavia,3E43,0872
Province,Perugia,3E43,0BDD
Province,Pesaro - Urbino,3E43,51A8
Province,Pescara,3E43,720E
Province,Piacenza,3E43,5837
Province,Pisa,3E43,A6FC
Province,Pistoia,3E43,3960
Province,Pordenone,3E43,956E
Province,Potenza,3E43,538C
Province,Prato,3E43,1C4E
Province,Ragusa,3E43,7580
Province,Ravenna,3E43,7DD8
Province,Reggio Calabria,3E43,51C6
Province,Reggio Emilia,3E43,7659
Province,Rieti,3E43,FBF0
Province,Rimini,3E43,3CAB
Province,Roma,3E43,BF14
Province,Rovigo,3E43,8AA3
Province,Salerno,3E43,7DD1
Province,Sassari,3E43,F039
Province,Savona,3E43,0FAC
Province,Siena,3E43,9DC7
Province,Siracusa,3E43,F17A
Province,Sondrio,3E43,5FAA
Province,Taranto,3E43,29C4
Province,Teramo,3E43,BFBD
Province,Terni,3E43,CFC0
Province,Torino,3E43,8CA4
Province,Trapani,3E43,14FD
Province,Trento,3E43,9BF7
Province,Treviso,3E43,CC04
Province,Trieste,3E43,B9B3
Province,Udine,3E43,F18C
Province,Varese,3E43,FB85
Province,Venezia,3E43,0FFE
Province,Verbania,3E43,1148
Province,Vercelli,3E43,B7D7
Province,Verona,3E43,AA5C
Province,Vibo Valentia,3E43,6679
Province,Vicenza,3E43,369E
Province,Villacidro - Sanluri,3E43,F7BE
Province,Viterbo,3E43,37A0
City,Bari,5E23,605E
City,Bologna,5E23,21BC
City,Cagliari,5E23,33B4
City,Catania,5E23,175D
City,Ferrara,5E23,E4BF
City,Genova,5E23,C4C9
City,La Spezia,5E23,541C
City,Messina,5E23,1AB0
City,Milano,5E23,D032
City,Napoli,5E23,1334
City,Padova,5E23,FB38
City,Palermo,5E23,261C
City,Parma,5E23,D39A
City,Reggio Calabria,5E23,5352
City,Reggio Emilia,5E23,7069
City,Roma,5E23,9532
City,Sassari,5E23,5BC7
City,Torino,5E23,333F
City,Trieste,5E23,124D
City,Venezia,5E23,A400
City,Verona,5E23,15C7
Nationality,AFGHANISTAN,18A5,67BE
Nationality,ALBANIA,18A5,679B
Nationality,ALGERIA,18A5,9197
Nationality,ANDORRA,18A5,5BDB
Nationality,ANGOLA,18A5,B2D2
Nationality,ANTIGUA E BARBUDA,18A5,4B05
Nationality,ANTILLE OLANDESI,18A5,F074
Nationality,ARABIA SAUDITA,18A5,B04B
Nationality,ARGENTINA,18A5,E08C
Nationality,ARMENIA,18A5,E8CD
Nationality,AUSTRALIA,18A5,B95D
Nationality,AUSTRIA,18A5,A7A0
Nationality,AZERBAIGIAN,18A5,D741
Nationality,BAHAMAS,18A5,B646
Nationality,BAHREIN,18A5,3904
Nationality,BANGLADESH,18A5,E958
Nationality,BARBADOS,18A5,642A
Nationality,BELGIO,18A5,3276
Nationality,BELIZE,18A5,C69A
Nationality,BENIN,18A5,54EC
Nationality,BERMUDA,18A5,FA1E
Nationality,BHUTAN,18A5,6A6B
Nationality,BIELORUSSIA,18A5,DB53
Nationality,BIRMANIA,18A5,0A54
Nationality,BOLIVIA,18A5,F243
Nationality,BOSNIA ED ERZEGOVINA,18A5,1B44
Nationality,BOTSWANA,18A5,15AC
Nationality,BRASILE,18A5,F359
Nationality,BRUNEI,18A5,6D50
Nationality,BULGARIA,18A5,B2D3
Nationality,BURKINA FASO,18A5,7CF5
Nationality,BURUNDI,18A5,0B6B
Nationality,CAMBOGIA,18A5,8298
Nationality,CAMERUN,18A5,8965
Nationality,CANADA,18A5,CEE2
Nationality,CAPO VERDE,18A5,CE02
Nationality,CARAIBI,18A5,4ECF
Nationality,CIAD,18A5,6684
Nationality,CILE,18A5,3641
Nationality,CINA,18A5,9541
Nationality,CITTA' DEL VATICANO,18A5,31F2
Nationality,COLOMBIA,18A5,EB4A
Nationality,COMORE,18A5,2BE5
Nationality,COREA DEL NORD,18A5,EE42
Nationality,COREA DEL SUD,18A5,EB36
Nationality,COSTA D'AVORIO,18A5,CCBE
Nationality,COSTA RICA,18A5,4012
Nationality,CROAZIA,18A5,DCD6
Nationality,CUBA,18A5,5385
Nationality,DANIMARCA,18A5,FE5F
Nationality,ECUADOR,18A5,34C8
Nationality,EGITTO,18A5,1CF6
Nationality,EL SALVADOR,18A5,CED0
Nationality,EMIRATI ARABI UNITI,18A5,6E34
Nationality,ERITREA,18A5,12B8
Nationality,ESTONIA,18A5,E397
Nationality,ETIOPIA,18A5,501A
Nationality,FED. RUSSA,18A5,D4FA
Nationality,FIGI,18A5,CF46
Nationality,FILIPPINE,18A5,92F8
Nationality,FINLANDIA,18A5,1CB3
