node1,node2,reach
Cross Pixel,Latin America (LATAM),266000000
Cross Pixel,Real Estate,43000000
Cross Pixel,SRT Keywords,201000000
Cross Pixel,Shopping,764000000
Cross Pixel,Technology Information,30000000
Cross Pixel,Telecom Services,5334000
Cross Pixel,Travel,44000000
Cross Pixel,US Hispanic,168000000
Datalogix,,7001000000
Datalogix,DLX Auto powered by Polk,6288000000
Datalogix,DLX B2B,172000000
Datalogix,DLX CPG,6634000000
Datalogix,DLX CPG Brands,6043000000
Datalogix,DLX CPG BuyStyles,6102000000
Datalogix,DLX Demographics,6916000000
Datalogix,DLX Fince,6865000000
Datalogix,DLX Geo,6572000000
Datalogix,DLX Lifestyles,6597000000
Datalogix,DLX Philanthropy,3406000000
Datalogix,DLX Retail,550000000
Datalogix,DLX Retail Brands,5261000000
Datalogix,DLX Seasol,5817000000
Datalogix,DLX Subscription Services,5394000000
Datalogix,DLX TV powered by TRA,5163000000
Datalogix,Partner Customs, 
Datalogix,Partner Customs,2557000000
Datalogix,VisaVue Audiences powered by DLX,5819000000
Datonics,,2505000000
Datonics,Automotive,685000000
Datonics,Business & Industry,1108000000
Datonics,CPG,51000000
Datonics,Careers & Employment,762000000
Datonics,Education,325000000
Datonics,Electronics,582000000
Datonics,Entertainment,721000000
Datonics,Family,512000000
Datonics,Fince & Money,706000000
Datonics,Food & Beverages,705000000
Datonics,Green Products,5559000
Datonics,Hobbies & Interest,412000000
Datonics,Home & Garden,349000000
Datonics,Household Consumer Behaviors,78000000
Datonics,Internet & Software,199000000
Datonics,Lifestyle,964000000
Datonics,Politics,224000000
Datonics,Privacy Conscious,4385000
Datonics,Real Estate,128000000
Datonics,Shopping Intent,452000000
Datonics,Sports,351000000
Datonics,Style & Fashion,336000000
Datonics,Tech Enthusiasts,1908000000
Datonics,Telecommunications,178000000
Datonics,Travel,327000000
Decolar,Probability Based Segments,
Decolar,Segment Audiences, 
Decolar,Split Audiences,19000000
Decolar,DoubleVerify, 
Decolar,DoubleVerify Bot, 
Epsilon,Custom,
Epsilon,Standard,144000000
Epsilon,Experian,233000000
Epsilon,Custom,114000000
Epsilon,Standard Segments,889000000
Experian UK,Experian UK,
Experian UK,FullLab,89000000
Experian UK,Alimentos e Bebidas, 
Experian UK,Automaniacos, 
Experian UK,Cinema em Casa, 
Experian UK,Consumidores de Livros, 
Experian UK,Esportistas, 
Experian UK,Estetica e Beleza, 
Experian UK,Fashionistas, 
Experian UK,Geeks e Dummies, 
Experian UK,Lar Doce Lar, 
Experian UK,Marcas de Pet, 
Experian UK,Papais e Mamaes, 
Experian UK,Petshoppers, 
Experian UK,Religiosos, 
Experian UK,Viajantes, 
GDB - Global Data Bank,GDB_Segments_Global,
GDB - Global Data Bank,IXI,4000000
GDB - Global Data Bank,Network (Private),1406000000
GDB - Global Data Bank,Open Market (Standard),1445000000
In Loco,In Loco Media Taxonomy V1,
In Loco,Julia DataX production test,
In Loco,Interl Yahoo Users,4
In Loco,Others, 
Krux,LiveRamp,
Lotame,,4555000000
Lotame,Lotame Data Selling Network,4554000000
Lotame,Targeted Victory Network - Client,321000000
Lotame,Targeted Victory Network - PAC,618000
vegg,Age,
vegg,Brand,585000000
vegg,Browser,186000000
vegg,Career,509000000
vegg,Connection,56000000
vegg,Device,515000000
vegg,Education,509000000
vegg,Everybuyer,561000000
vegg,Everyone,528000000
vegg,Gender,581000000
vegg,Income,58000000
vegg,Interest,561000000
vegg,Marital,539000000
vegg,Os,561000000
vegg,Product,509000000
vegg,Social,372000000
vegg,Special,365000000
vegg,Nectar,366000000
vegg,Finish, 
Neustar,3rd Party Data,
Neustar,AdAdvisor Data,942000000
Neustar,Private Data,1181000000
Neustar,Nielsen Catali Solutions (NCS),231000000
Neustar,CUSTOM SEGMENTS,871000000
Neustar,SYNDICATED SEGMENTS,843000000
Ninth Decimal,Demographics,
Ninth Decimal,Age, 
Ninth Decimal,Ethnicity, 
Ninth Decimal,Family, 
Ninth Decimal,Gender, 
Ninth Decimal,Household Income, 
Ninth Decimal,Enthusiast, 
Ninth Decimal,Food & Beverage, 
Ninth Decimal,In Market, 
Ninth Decimal,Lifestyle, 
Ninth Decimal,Shopper, 
Ninth Decimal,Travel, 
Ninth Decimal,SirData, 
Sirdata,Sirdata [Active Buyers] Star Wars, 
Sirdata,Sirdata [Active Buyers] Animal Products & Services,178000
Sirdata,Sirdata [Active Buyers] Apple,8012000
Sirdata,Sirdata [Active Buyers] Art & Entertainment,3287000
Sirdata,Sirdata [Active Buyers] Athletics,1000000
Sirdata,Sirdata [Active Buyers] Audio Players and Systems,51000000
Sirdata,Sirdata [Active Buyers] Automotive,6792000
Sirdata,Sirdata [Active Buyers] Automotive & Garage tools,3665000
Sirdata,Sirdata [Active Buyers] Autos & Vehicles,68000000
Sirdata,Sirdata [Active Buyers] B2B Supplies & Services,8147000
Sirdata,Sirdata [Active Buyers] Baby Clothing,55000000
Sirdata,Sirdata [Active Buyers] Banking,1761000
Sirdata,Sirdata [Active Buyers] Beauty & Persol Care,64000000
Sirdata,Sirdata [Active Buyers] Beauty & hair Salons, 
Sirdata,Sirdata [Active Buyers] Beauty Products,5633000
Sirdata,Sirdata [Active Buyers] Beverages, 
Sirdata,Sirdata [Active Buyers] Business & Industry,4103000
Sirdata,Sirdata [Active Buyers] Business Services,24000000
Sirdata,Sirdata [Active Buyers] Camera & Photography,18000
Sirdata,Sirdata [Active Buyers] Carnivals,11000000
Sirdata,Sirdata [Active Buyers] Celebrations,3444000
Sirdata,Sirdata [Active Buyers] Children,41000000
Sirdata,Sirdata [Active Buyers] Classifieds,17000000
Sirdata,Sirdata [Active Buyers] Clothing Men,33000000
Sirdata,Sirdata [Active Buyers] Clothing Women,49000000
Sirdata,Sirdata [Active Buyers] Computers & Electronics,76000000
Sirdata,Sirdata [Active Buyers] Cosmetic,79000
Sirdata,Sirdata [Active Buyers] DIY Do It Yourself,146000000
Sirdata,Sirdata [Active Buyers] E-Learning,17
Sirdata,Sirdata [Active Buyers] Ecology & Environment,8903000
Sirdata,Sirdata [Active Buyers] Education,423000
Sirdata,Sirdata [Active Buyers] Employment,765000
Sirdata,Sirdata [Active Buyers] Entertainment,69000000
Sirdata,Sirdata [Active Buyers] Events & Happenings,8285000
Sirdata,Sirdata [Active Buyers] Fair Trade, 
Sirdata,Sirdata [Active Buyers] Family & Parenting,28000000
Sirdata,Sirdata [Active Buyers] Fashion & Apparel,89000000
Sirdata,Sirdata [Active Buyers] Fince,5082000
Sirdata,Sirdata [Active Buyers] Fitness,9723000
Sirdata,Sirdata [Active Buyers] Food,56
Sirdata,Sirdata [Active Buyers] Food & Drink,1709000
Sirdata,Sirdata [Active Buyers] Footwear & Shoes,3000000
Sirdata,Sirdata [Active Buyers] Gardening & Landscaping,34000000
Sirdata,Sirdata [Active Buyers] Gifts & Special Event Items,12000000
Sirdata,Sirdata [Active Buyers] Hardware,739000
Sirdata,Sirdata [Active Buyers] Health,1671000
Sirdata,Sirdata [Active Buyers] Healthy Food, 
Sirdata,Sirdata [Active Buyers] Hobbies,161000
Sirdata,Sirdata [Active Buyers] Home & Garden,122000000
Sirdata,Sirdata [Active Buyers] Home Appliances,194000
Sirdata,Sirdata [Active Buyers] Home Furnishing,5194000
Sirdata,Sirdata [Active Buyers] Home improvement,58000000
Sirdata,Sirdata [Active Buyers] ICT,67000000
Sirdata,Sirdata [Active Buyers] Insurance,8347000
Sirdata,Sirdata [Active Buyers] Internet & Telecommunications,8401000
Sirdata,Sirdata [Active Buyers] Investing,273000
Sirdata,Sirdata [Active Buyers] Kitchenware,758000
Sirdata,Sirdata [Active Buyers] Leisure & Recreation,55000000
Sirdata,Sirdata [Active Buyers] Motorcycles,7796000
Sirdata,Sirdata [Active Buyers] Nursery,71000000
Sirdata,Sirdata [Active Buyers] Public Services & Government, 
Sirdata,Sirdata [Active Buyers] Science,142000
Sirdata,Sirdata [Active Buyers] Shopping Misc,71000000
Sirdata,Sirdata [Active Buyers] Software & programming,1114000
Sirdata,Sirdata [Active Buyers] Special Event items,11000000
Sirdata,Sirdata [Active Buyers] Sports,66000000
Sirdata,Sirdata [Active Buyers] Teaching,844
Sirdata,Sirdata [Active Buyers] Tobacco Products, 
Sirdata,Sirdata [Active Buyers] Tourism,57000000
Sirdata,Sirdata [Active Buyers] Toys & Games,46000000
Sirdata,Sirdata [Active Buyers] Travel & Transportation,81000000
Sirdata,Sirdata [Active Buyers] Travel Agencies & Services,6544000
Sirdata,Sirdata [Active buyers] TV & Home Theater,51000000
Sirdata,Sirdata [Branded] Audiofanzine,4008000
Sirdata,Sirdata [Branded] Groupon,25000000
Sirdata,Sirdata [Branded] Groupon - Local deals,2000000
Sirdata,Sirdata [Branded] Groupon - tiol Deals,506000
Sirdata,Sirdata [Branded] Groupon - Shopping,8087000
Sirdata,Sirdata [Branded] Groupon - Ticketing,1211000
Sirdata,Sirdata [Branded] Groupon - Travel,7434000
Sirdata,Sirdata [Branded] Kelkoo, 
Sirdata,Sirdata [Branded] Kelkoo - Baby and Nursery,105000
Sirdata,Sirdata [Branded] Kelkoo - Cars and Motorcycles,272000
Sirdata,Sirdata [Branded] Kelkoo - Computers and Software,649000
Sirdata,Sirdata [Branded] Kelkoo - Consoles,
Sirdata,Sirdata [Branded] Kelkoo - Electronics,72000
Sirdata,Sirdata [Branded] Kelkoo - Entertainment,424000
Sirdata,Sirdata [Branded] Kelkoo - Fashion,811000
Sirdata,Sirdata [Branded] Kelkoo - Food and Drinks,64000
Sirdata,Sirdata [Branded] Kelkoo - Garden and Home improvment,576000
Sirdata,Sirdata [Branded] Kelkoo - Gifts and Flowers,19000
Sirdata,Sirdata [Branded] Kelkoo - Health and Beauty,354000
Sirdata,Sirdata [Branded] Kelkoo - Home and Furniture,623000
Sirdata,Sirdata [Branded] Kelkoo - Household Appliances,632000
Sirdata,Sirdata [Branded] Kelkoo - Phones and accessories,354000
Sirdata,Sirdata [Branded] Kelkoo - Sexy Erotic,61000
Sirdata,Sirdata [Branded] Kelkoo - Shoes,24000
Sirdata,Sirdata [Branded] Kelkoo - Sport and Leisure,781000
Sirdata,Sirdata [Branded] Kelkoo - Travel,392000
Sirdata,Sirdata [Branded] Petit Futé,11000000
Sirdata,Sirdata [Branded] Petit Futé - Leisure,1
Sirdata,Sirdata [Branded] Petit Futé - Restaurants,1
Sirdata,Sirdata [Demographics] Age 15-24,42000
Sirdata,Sirdata [Demographics] Age 25-34,789000
Sirdata,Sirdata [Demographics] Age 35-49,1898000
Sirdata,Sirdata [Demographics] Age 50-64,2503000
Sirdata,Sirdata [Demographics] Age 65 and more,4803000
Sirdata,Sirdata [Demographics] Architect,1087000
Sirdata,Sirdata [Demographics] Females,7561000
Sirdata,Sirdata [Demographics] Grandparents,4962000
Sirdata,Sirdata [Demographics] Lower class,64000
Sirdata,Sirdata [Demographics] Males,3824000
Sirdata,Sirdata [Demographics] Medical professions,175000
Sirdata,Sirdata [Demographics] Middle class, 
Sirdata,Sirdata [Demographics] Real Estate Owner, 
Sirdata,Sirdata [Demographics] Teacher,47000
Sirdata,Sirdata [Demographics] Upper class,1324000
Sirdata,Sirdata [Hot Prospects] ATA ARRIVAL AT VIE,5000
Sirdata,Sirdata [Hot Prospects] Accessories Men,8579000
Sirdata,Sirdata [Hot Prospects] Air Conditioning,147000
Sirdata,Sirdata [Hot Prospects] Amusement and Theme Parks,813000
Sirdata,Sirdata [Hot Prospects] Auto Accessories,128000
Sirdata,Sirdata [Hot Prospects] Auto parts and accessories,1814000
Sirdata,Sirdata [Hot Prospects] Baby Bath,577
Sirdata,Sirdata [Hot Prospects] Baby Health and Safety,58000
Sirdata,Sirdata [Hot Prospects] Baby Toys,51000
Sirdata,Sirdata [Hot Prospects] Baby Underwear,629000
Sirdata,Sirdata [Hot Prospects] Baking,7386000
Sirdata,Sirdata [Hot Prospects] Beauty Accessories,143000
Sirdata,Sirdata [Hot Prospects] Beauty Blogs,1415000
Sirdata,Sirdata [Hot Prospects] Bedroom,2731000
Sirdata,Sirdata [Hot Prospects] Beds & Mattresses,9812000
Sirdata,Sirdata [Hot Prospects] Beer & Cider,7343000
Sirdata,Sirdata [Hot Prospects] Birth Announcement,43000
Sirdata,Sirdata [Hot Prospects] Birthday Present,7671000
Sirdata,Sirdata [Hot Prospects] Blu-Ray & DVD Players,176000
Sirdata,Sirdata [Hot Prospects] Body care,42000000
Sirdata,Sirdata [Hot Prospects] Boys Clothing,6285000
Sirdata,Sirdata [Hot Prospects] Buses & Coaches,5067000
Sirdata,Sirdata [Hot Prospects] Business Education,543000
Sirdata,Sirdata [Hot Prospects] Business Software,29000
Sirdata,Sirdata [Hot Prospects] Business Travel,21000000
Sirdata,Sirdata [Hot Prospects] Car Dealers & MarketPlaces,1754000
Sirdata,Sirdata [Hot Prospects] Car Insurance,8721000
Sirdata,Sirdata [Hot Prospects] Casinos,1
Sirdata,Sirdata [Hot Prospects] Casual Shoes, 
Sirdata,Sirdata [Hot Prospects] Celebrity News,11000000
Sirdata,Sirdata [Hot Prospects] Cell Phone Plans,3000
Sirdata,Sirdata [Hot Prospects] Charters,28000
Sirdata,Sirdata [Hot Prospects] Children Underwear,644000
Sirdata,Sirdata [Hot Prospects] Cleaning and Washing,2644000
Sirdata,Sirdata [Hot Prospects] Clothing,56000000
Sirdata,Sirdata [Hot Prospects] Computer Hardware,55000000
Sirdata,Sirdata [Hot Prospects] Computers,13000000
Sirdata,Sirdata [Hot Prospects] Concerts & Festivals, 
Sirdata,Sirdata [Hot Prospects] Construction,702000
Sirdata,Sirdata [Hot Prospects] Cooking & Recipes,1623000
Sirdata,Sirdata [Hot Prospects] Cooking Utensils,12000000
Sirdata,Sirdata [Hot Prospects] Coupons & Discount Offers,185000
Sirdata,Sirdata [Hot Prospects] Crafts,70000
Sirdata,Sirdata [Hot Prospects] Crowdfunding Services,553000
Sirdata,Sirdata [Hot Prospects] Cruises,38000
Sirdata,Sirdata [Hot Prospects] Currency Exchange,26000
Sirdata,Sirdata [Hot Prospects] DIY Guides & Tutorials,3142000
Sirdata,Sirdata [Hot Prospects] Dating,819000
Sirdata,Sirdata [Hot Prospects] Debt consolidation,404000
Sirdata,Sirdata [Hot Prospects] Dental Insurance,1652000
Sirdata,Sirdata [Hot Prospects] Discount and second hand store,23000000
Sirdata,Sirdata [Hot Prospects] Dishes & Tableware,1855000
Sirdata,Sirdata [Hot Prospects] Drawing & Painting,529000
Sirdata,Sirdata [Hot Prospects] Durable goods,2362000
Sirdata,Sirdata [Hot Prospects] Easter (Celebrations),6747000
Sirdata,Sirdata [Hot Prospects] Economics & Intertiol Fince,1686000
Sirdata,Sirdata [Hot Prospects] Eyewear,15000
Sirdata,Sirdata [Hot Prospects] Family Resorts,17000000
Sirdata,Sirdata [Hot Prospects] Fashion accessories,7000000
Sirdata,Sirdata [Hot Prospects] Fasion Accessories Women,39000000
Sirdata,Sirdata [Hot Prospects] Fathers Day,6694000
Sirdata,Sirdata [Hot Prospects] Fil Goods,75000000
Sirdata,Sirdata [Hot Prospects] Flash Games,801000
Sirdata,Sirdata [Hot Prospects] Football,9901000
Sirdata,Sirdata [Hot Prospects] Formal Shoes, 
Sirdata,Sirdata [Hot Prospects] Frames & Orments,4214000
Sirdata,Sirdata [Hot Prospects] Fun & Trivia,36000
Sirdata,Sirdata [Hot Prospects] Funeral Insurance,55000
Sirdata,Sirdata [Hot Prospects] Furnitures,18000000
Sirdata,Sirdata [Hot Prospects] Gambling,1585000
Sirdata,Sirdata [Hot Prospects] Game contest,5801000
Sirdata,Sirdata [Hot Prospects] Garden Furniture,1751000
Sirdata,Sirdata [Hot Prospects] Gifts by occasion,12000000
Sirdata,Sirdata [Hot Prospects] Girls Clothing,6285000
