node1,node2,reach
Yahoo Autos,Toyota,337000
Yahoo Autos,Volkswagen,54000
Yahoo Autos,Volvo,31000
Yahoo Premium Audience, ,
Yahoo Premium Audience,Business and Industry,
Yahoo Premium Audience,Entertainment,
Yahoo Premium Audience,Family and relationships,438000000
Yahoo Premium Audience,Fitness and wellness,1471000000
Yahoo Premium Audience,Food and drink,3944000000
Yahoo Premium Audience,Hispanic Affinity,6036000000
Yahoo Premium Audience,Hobbies and activities,
Yahoo Premium Audience,Shopping and fashion,5282000000
Yahoo Premium Audience,Sports,564000000
Yahoo Premium Audience,Technology,3138000000
Yahoo Premium Audience,Vehicles,207000000
